Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Production
Control,2,1,4,05/09/2017,01/11/2017,204,57,1.9410783,2.784783,0.002188604
Control,2,1,1,01/11/2017,15/11/2017,218,14,4.459333,4.4376454,0
Control,2,1,2,01/11/2017,15/11/2017,218,14,1.5067183,2.7427597,0.002069137
Control,2,1,4,01/11/2017,15/11/2017,218,14,2.784783,1.4510646,0
Control,2,2,1,21/06/2017,14/07/2017,94,23,0,3.375573,0.4015013
Control,2,2,2,21/06/2017,14/07/2017,94,23,0,1.9146103,0.116340375
Control,2,2,3,21/06/2017,14/07/2017,94,23,0,2.1670523,0.362868997
Control,2,2,4,21/06/2017,14/07/2017,94,23,0,2.649034,0.903591522
Control,2,2,5,21/06/2017,14/07/2017,94,23,0,2.309768,1.529202255
Control,2,2,1,14/07/2017,05/09/2017,147,53,3.375573,3.375573,0
Control,2,2,2,14/07/2017,05/09/2017,147,53,1.9146103,1.8464776,0
Control,2,2,3,14/07/2017,05/09/2017,147,53,2.1670523,2.3677495,0.000695923
Control,2,2,4,14/07/2017,05/09/2017,147,53,2.649034,2.3599515,0
Control,2,2,5,14/07/2017,05/09/2017,147,53,2.309768,2.309768,0
